binary_tox,capitalized letters,character count,cleaner_text,comment_text,compound,identity_hate,insult,lemmatized_text,lgbtq hate,misogynist words,neg,neu,neutral,obscene,pos,racial_ethnic slurs,severe_toxic,special characters,swear words,threat,toxic,word count
0,7,250,"I think this should probably be a separate page, just like the Precious page in Boukenger and the Magic Spell page in Magiranger. Considering we get roughly one per episode (just like the magic spells and the preciouses), it'd be a nice page to have.","I think this should probably be a separate page, just like the Precious page in Boukenger and the Magic Spell page in Magiranger. Considering we get roughly one per episode (just like the magic spells and the preciouses), it'd be a nice page to have.",0.8885,0,0,"think probably separate page , like Precious page Boukenger Magic Spell page Magiranger . Considering roughly episode ( like magic spell preciouses ) , 'd nice page .",0,0,0.0,0.768,1,0,0.232,0,0,7,0,0,0,45
0,18,720,"Several reliable sources for Samoa are already in the article. The prime minister suggested , but it has not been codified yet. That would be a Thursday, which seems far removed from the weekend if that was their intent. To move the date line from west to east of an island, a day must be skipped or deleted, which Kwajalein did by deleting Saturday . They celebrated by holding a two-mile run which began just before midnight Friday evening and ended just after midnight Sunday morning. Conversely, to move the date line from east to west of an island, a day must be repeated, which Samoa did in 1892 when it repeated , American Independence Day. During that time Samoa had not yet been subdivided by colonial powers. —","Several reliable sources for Samoa are already in the article. The prime minister suggested , but it has not been codified yet. That would be a Thursday, which seems far removed from the weekend if that was their intent. To move the date line from west to east of an island, a day must be skipped or deleted, which Kwajalein did by deleting Saturday . They celebrated by holding a two-mile run which began just before midnight Friday evening and ended just after midnight Sunday morning. Conversely, to move the date line from east to west of an island, a day must be repeated, which Samoa did in 1892 when it repeated , American Independence Day. During that time Samoa had not yet been subdivided by colonial powers. —",0.7227,0,0,"reliable source Samoa article . prime minister suggested , codified . Thursday , far removed weekend intent . date line west east island , day skipped deleted , Kwajalein deleting Saturday . celebrated holding two-mile run began midnight Friday evening ended midnight Sunday morning . Conversely , date line east west island , day repeated , Samoa 1892 repeated , American Independence Day . time Samoa subdivided colonial power . —",0,0,0.0,0.96,1,0,0.04,0,0,17,0,0,0,129
0,9,477,"Deleting the majority of the article   Original research, speculation, POV, crystal-balling, and more original research. The article contains just about everything that shouldn't be in an article, and nothing that should be in. No notability, no references, no relevancy, and no prose. I've removed the majority of the article, and call for the rewrite of the pitiful little that remains to make at least some sense and notability, or I will nominate it for deletion. |heru|nar","Deleting the majority of the article 

Original research, speculation, POV, crystal-balling, and more original research. The article contains just about everything that shouldn't be in an article, and nothing that should be in. No notability, no references, no relevancy, and no prose. I've removed the majority of the article, and call for the rewrite of the pitiful little that remains to make at least some sense and notability, or I will nominate it for deletion. |heru|nar",-0.7275,0,0,"Deleting majority article Original research , speculation , POV , crystal-balling , original research . article contains n't article , . notability , reference , relevancy , prose . 've removed majority article , rewrite pitiful little remains make sense notability , nominate deletion . |heru|nar",0,0,0.141,0.8009999999999999,1,0,0.058,0,0,19,0,0,0,76
0,0,23,play for 5 yearand then,play for 5 yearand then,0.34,0,0,play 5 yearand,0,0,0.0,0.556,1,0,0.444,0,0,0,0,0,0,5
0,3,89,"From what I see, not care that I was completely unable to file the complaint at the time.","From what I see, not care that I was completely unable to file the complaint at the time.",-0.5897,0,0,", care completely unable file complaint time .",0,0,0.256,0.7440000000000001,1,0,0.0,0,0,2,0,0,0,18
0,11,287,"I don't want to be unjustly warned nor blocked for actions of Al Bargit/Aminullah in future if he makes new provocation again. For the record, this terrorist wants my disappearing from Wikipedia. What I must do if GB again warns me for not my actions, if I don't be able to convince him?","I don't want to be unjustly warned nor blocked for actions of Al Bargit/Aminullah in future if he makes new provocation again. For the record, this terrorist wants my disappearing from Wikipedia. What I must do if GB again warns me for not my actions, if I don't be able to convince him?",-0.7603,0,0,"n't want unjustly warned blocked action Al Bargit/Aminullah future make new provocation . record , terrorist want disappearing Wikipedia . GB warns action , n't able convince ?",0,0,0.17800000000000002,0.757,1,0,0.066,0,0,8,0,0,0,53
1,62,1476,"""  I think you are doing a lousy job polluting valid information with complete garbage. So, I will no longer link to the wikipedia Clan Davidson """"article"""" and will link to the correct history: ACCORDING to the Highland manuscript believed to be written by one MacLauchlan, bearing the date 1467, and containing an account of the genealogies of Highland clans down to about the year 1450, which was accepted as authoritative by Skene in his Celtic Scotland, and believed to embody the common tradition of its time, the origin of the Davidsons is attributed to a certain Gilliecattan Mhor, chief of Clan Chattan in the time of David I. This personage, it is stated, had two sons, Muirich Mhor and Dhai Dhu. From the former of these was descended Clan Mhuirich or Macpherson, and from the latter Clan Dhai or Davidson. Sir Aeneas Macpherson, the historian of the clan of that name, states that both the Macphersons and the Davidsons were descended from Muirich, parson of Kingussie in the twelfth century. You suck, and this site sucks and your edits are complete crap but I'm sure you feel justified somehow in your pathetic view. Like I said, this page is utter bunk, filled with nothing but false information and I'm done with it because there are plenty of sites out there that actually have legitimate information. Gee, it certainly is funny how I keep getting very distant genetic matches to members of Clan Chattan that are NOT related to the Norman Comyn scum. Cheers.""","""

I think you are doing a lousy job polluting valid information with complete garbage. So, I will no longer link to the wikipedia Clan Davidson """"article"""" and will link to the correct history: ACCORDING to the Highland manuscript believed to be written by one MacLauchlan, bearing the date 1467, and containing an account of the genealogies of Highland clans down to about the year 1450, which was accepted as authoritative by Skene in his Celtic Scotland, and believed to embody the common tradition of its time, the origin of the Davidsons is attributed to a certain Gilliecattan Mhor, chief of Clan Chattan in the time of David I. This personage, it is stated, had two sons, Muirich Mhor and Dhai Dhu. From the former of these was descended Clan Mhuirich or Macpherson, and from the latter Clan Dhai or Davidson. Sir Aeneas Macpherson, the historian of the clan of that name, states that both the Macphersons and the Davidsons were descended from Muirich, parson of Kingussie in the twelfth century. You suck, and this site sucks and your edits are complete crap but I'm sure you feel justified somehow in your pathetic view. Like I said, this page is utter bunk, filled with nothing but false information and I'm done with it because there are plenty of sites out there that actually have legitimate information. Gee, it certainly is funny how I keep getting very distant genetic matches to members of Clan Chattan that are NOT related to the Norman Comyn scum. Cheers.""",0.74,0,0,"`` think filthy job pollute valid selective_information concluded garbage . , long link wikipedia clan Davidson `` `` article `` `` tie-in chasten history : harmonise upland ms believe publish MacLauchlan , digest date_stamp 1467 , carry account genealogy upland kin year 1450 , accept classical Skene Gaelic Scotland , think body_forth common custom time , pedigree Davidsons attribute certain Gilliecattan Mhor , principal clan Chattan fourth_dimension Saint_David . influential_person , express , Logos , Muirich Mhor Dhai Dhu . come tribe Mhuirich Macpherson , kin_group Dhai Davidson . sir Aeneas Macpherson , historiographer kinship_group , put_forward Macphersons Davidsons condescend Muirich , parson Kingussie twelfth_part one_C . fellate , site go_down_on cut pure horseshit 'm sure experience justify piteous opinion . like tell , page mouth hokum , fill false information 'm passel land_site actually legitimise data . g-force , sure_enough amusing cause remote hereditary match member kindred Chattan relate Jessye_Norman Comyn scum . hearten . ``",0,0,0.054000000000000006,0.872,0,0,0.07400000000000001,0,0,36,0,0,1,254
1,141,178,YOU HAVE NO RIGHT TO ASSUME I'm a SOCK PUPPET CLOWN YOU HAVE NO RIGHT WHAT SO EVER AND TO REMOVE VAILD CONCERNS SHOWS YOUR CONTEMPT AND LACK OF RESPECT FOR OTHER EDITORS ASSHOLE.,YOU HAVE NO RIGHT TO ASSUME I'm a SOCK PUPPET CLOWN YOU HAVE NO RIGHT WHAT SO EVER AND TO REMOVE VAILD CONCERNS SHOWS YOUR CONTEMPT AND LACK OF RESPECT FOR OTHER EDITORS ASSHOLE.,-0.8624,0,0,right take_over 'm sock puppet buffoon mighty polish_off VAILD concern show despite miss deference editor_in_chief shit .,0,0,0.297,0.619,0,1,0.085,0,0,2,3,0,1,34
0,4,371,"I have read the law on this and their is no capital of the company and thus it is hard to determine how their can be an owner as such? Usually state companies explicitly state in the relevant law who owns what but not here, checked 1950 and 1986 acts. It has a wide range of powers to purchase, borrow and dispose - and of course is subject to the law and the Oireachtas.","I have read the law on this and their is no capital of the company and thus it is hard to determine how their can be an owner as such? Usually state companies explicitly state in the relevant law who owns what but not here, checked 1950 and 1986 acts. It has a wide range of powers to purchase, borrow and dispose - and of course is subject to the law and the Oireachtas.",-0.2023,0,0,"read law capital company hard determine owner ? Usually state company explicitly state relevant law owns , checked 1950 1986 act . wide range power purchase , borrow dispose - course subject law Oireachtas .",0,0,0.039,0.961,1,0,0.0,0,0,6,0,0,0,74
1,17,349,"Oh, guess what? This is all fucking pointless. They were convicted.. Life without parole. Convicted in 2011. That took me 45 seconds to find. All this whining, bitching and teeth gnashing about BLP and you never bothered to look to see that it has already gone to trial, they were convicted and sentence. Can we PLEASE put this bullshit to rest now.","Oh, guess what? This is all fucking pointless. They were convicted.. Life without parole. Convicted in 2011. That took me 45 seconds to find. All this whining, bitching and teeth gnashing about BLP and you never bothered to look to see that it has already gone to trial, they were convicted and sentence. Can we PLEASE put this bullshit to rest now.",-0.4078,0,0,"Buckeye_State , surmise ? shag purposeless . convicted.. life_sentence word . convict 2011 . take xlv second_gear . whine , bitch tooth gnash BLP daunted take_care done_for trial , convict condemn . bull rest .",0,1,0.114,0.7959999999999999,0,1,0.09,0,0,12,2,0,1,62
0,5,275,"After all.    I bet you type without using your little finger, right? =  Yes we are true enemies, by your making alone. You who destructively only care of style and psychotically are utterly blind to substance. It is you who is the quintessential enemy of sane communication.","After all. 

 I bet you type without using your little finger, right? =

Yes we are true enemies, by your making alone. You who destructively only care of style and psychotically are utterly blind to substance. It is you who is the quintessential enemy of sane communication.",-0.7688,0,0,". bet type using little finger , right ? = Yes true enemy , making . destructively care style psychotically utterly blind substance . quintessential enemy sane communication .",0,0,0.249,0.611,1,0,0.139,0,0,8,0,0,0,47
1,8,38,What we at Toho Kingdom RULE! Shut up!,What we at Toho Kingdom RULE! Shut up!,0.0,0,0,Toho realm rule ! shut_out !,0,0,0.0,1.0,0,0,0.0,0,0,2,0,0,1,8
0,0,23,and a chocolate company,and a chocolate company,0.0,0,0,chocolate company,0,0,0.0,1.0,1,0,0.0,0,0,0,0,0,0,4
1,4,232,You son of a bitch  I was the one who recognized that it was a left facing swastika.  And those morons are retarded for making a left facing swastika not a right one.  Thanks being a non-observant faggot and stealing my work asshole,"You son of a bitch 
I was the one who recognized that it was a left facing swastika.

And those morons are retarded for making a left facing swastika not a right one.

Thanks being a non-observant faggot and stealing my work asshole",-0.9653,1,1,son backbite accepted leftover facing Hakenkreuz . retard retarded making left veneer Hakenkreuz right . thanks non-observant fagot steal work dickhead,2,1,0.396,0.604,0,1,0.0,0,1,3,2,0,1,43
0,1,72,"I'll change to text then, and refer it as something other than 'species'","I'll change to text then, and refer it as something other than 'species'",0.0,0,0,"'ll change text , refer 'species '",0,0,0.0,1.0,1,0,0.0,0,0,4,0,0,0,13
0,1,173,I wouldn't advise so because if they are removed the original script is ruined and will be forgotten who wrote the original piece plus special talents are alr inside ~ firey,I wouldn't advise so because if they are removed the original script is ruined and will be forgotten who wrote the original piece plus special talents are alr inside ~ firey,0.6486,0,0,n't advise removed original script ruined forgotten wrote original piece plus special talent alr inside ~ firey,0,0,0.131,0.601,1,0,0.269,0,0,2,0,0,0,31
1,6,495,"""   whad up syphillisss   So why dont you actually contribute something to wikipedia yourself instead of checking, controlling and constantly reading what others are doing?? You dont have the intellectual capacity or the depth, huh? Or do you simply lack a life so much that virtual vandal patrolling is the most interesting thing that you do during the day??!! In either case, do know that I will be praying for you and your poor soul...  —Preceding unsigned comment added by 88.241.172.199   ""","""

 whad up syphillisss 

So why dont you actually contribute something to wikipedia yourself instead of checking, controlling and constantly reading what others are doing?? You dont have the intellectual capacity or the depth, huh? Or do you simply lack a life so much that virtual vandal patrolling is the most interesting thing that you do during the day??!! In either case, do know that I will be praying for you and your poor soul...  —Preceding unsigned comment added by 88.241.172.199   """,-0.6313,0,1,"`` whad syphillisss dont actually contribute wikipedia instead hold_in , control incessantly reading ? ? dont intellectual electrical_capacity astuteness , huh ? simply lack life_sentence virtual vandal patrol worry thing mean_solar_day ? ? ! ! typesetter's_case , cognise pray inadequate soul ... —Preceding unsigned remark contribute 88.241.172.199 ``",0,0,0.109,0.828,0,0,0.062,0,0,19,0,0,0,82
1,66,1300,"""   Blocking Mardyks   Excellent work there Shii. We can't have his kind getting us to think about what the Maya actually say about their own prophecies. We insulted him, offended him and abused him and he just had to be ethical and persistant. BLOCK those Mother Fukkers!!! Taking out the entire Santa Fe Public Library system is a great preemptive strike also. There may be others of his kind, that sympathize with those """"Indians"""". These people actually LOVE the Earth and that is without reliable sources! We kicked their asses and have the right to write THEIR history and interpret THEIR sacred teachings however we please. We need more from college students who have been indoctrinated in the Church of Academia. That piece by Stitler is one of the most exaggerated and opinionated and so yeah, use that as the title of the page! And by all means give John MAJOR Jenkins his own section. Not a single scholar or Mayanists agrees with his appropriated theory and this kind of hypocrisy and arrogance is what Wiki is all about. We can get away with it, by continuing to use our power to censor free thinkers like Mardyks and his kind. Sony Pictures is paying us all off with tickets, so let us know how many you want. FREE popcorn, too! Whoopee! Best wishes from Jimini Cricket 97.123.26.228  ""","""

 Blocking Mardyks 

Excellent work there Shii. We can't have his kind getting us to think about what the Maya actually say about their own prophecies. We insulted him, offended him and abused him and he just had to be ethical and persistant. BLOCK those Mother Fukkers!!! Taking out the entire Santa Fe Public Library system is a great preemptive strike also. There may be others of his kind, that sympathize with those """"Indians"""". These people actually LOVE the Earth and that is without reliable sources! We kicked their asses and have the right to write THEIR history and interpret THEIR sacred teachings however we please. We need more from college students who have been indoctrinated in the Church of Academia. That piece by Stitler is one of the most exaggerated and opinionated and so yeah, use that as the title of the page! And by all means give John MAJOR Jenkins his own section. Not a single scholar or Mayanists agrees with his appropriated theory and this kind of hypocrisy and arrogance is what Wiki is all about. We can get away with it, by continuing to use our power to censor free thinkers like Mardyks and his kind. Sony Pictures is paying us all off with tickets, so let us know how many you want. FREE popcorn, too! Whoopee! Best wishes from Jimini Cricket 97.123.26.228  """,0.8003,0,0,"`` jam Mardyks excellent work Shii . Ca n't kind arrest recollect Mayan actually sound_out vaticination . insult , break blackguard honourable persistant . barricade generate Fukkers ! ! ! acquire integral St._Nick Fe public library corking preemptive strike . sort , commiserate `` `` Indian `` `` . the_great_unwashed really love_life globe true rootage ! plain screwing right write history understand hallowed precept . involve college bookman indoctrinate church academe . assemble Stitler hyperbolise self-opinionated yeah , exercise title page ! have_in_mind King_John major Jenkins discussion_section . single learner Mayanists harmonize seize possibility tolerant lip_service hauteur Wiki . aside , retain economic_consumption top_executive censor release mind the_like Mardyks sort . Sony picture make_up ticket , let bonk want . barren popcorn , ! whoopee ! well wish Jimini cricket 97.123.26.228 ``",0,0,0.134,0.716,0,0,0.149,0,0,34,1,0,1,228
1,8,301,"""  An illness has nothing to do with time/era, but """"mental illnesses"""", for some reason, do. In a society where everyone is narcissistic, it's not a disorder. Ragheads think we're insane, and we think those sand-niggers are crazy too. Ever heard of """"Einstein's Theory of Relativity""""? I think not. ""","""

An illness has nothing to do with time/era, but """"mental illnesses"""", for some reason, do. In a society where everyone is narcissistic, it's not a disorder. Ragheads think we're insane, and we think those sand-niggers are crazy too. Ever heard of """"Einstein's Theory of Relativity""""? I think not. """,-0.6821,1,1,"`` sickness time/era , `` `` genial unwellness `` `` , reason , . gild egotistic , 's perturb . Ragheads retrieve 're insane , call_up sand-niggers nutcase . hear `` `` Einstein 's theory relativity `` `` ? think not . ``",0,0,0.162,0.7829999999999999,0,0,0.055,1,0,25,0,0,0,50
0,4,24,"MATE, you need some help","MATE, you need some help",0.4019,0,0,"MATE , need help",0,0,0.0,0.597,1,0,0.403,0,0,1,0,0,0,5
0,4,342,"""  You might want to take a look at this page to get an idea of the kinds of external links that are appropriate.  The links that you're including in several articles are coming quite close to the appearance of """"spamming"""" the encyclopedia.  If you have any questions, let me know by clicking on the """"talk"""" link in my signature.   | Talk ""","""

You might want to take a look at this page to get an idea of the kinds of external links that are appropriate.  The links that you're including in several articles are coming quite close to the appearance of """"spamming"""" the encyclopedia.

If you have any questions, let me know by clicking on the """"talk"""" link in my signature.   | Talk """,0.0772,0,0,"`` want look page idea kind external link appropriate . link 're including article coming quite close appearance `` '' spamming '' '' encyclopedia . question , let know clicking `` '' talk '' '' link signature . | Talk ``",0,0,0.0,0.978,1,0,0.022,0,0,16,0,0,0,63
0,38,1247,"""   Desktop OS market shareas of May, 2008 Operating System Market Share, May 2008, courtesy of Net Applications, a marketing company which obtains its data from the Alexa Toolbar or related products. Because people who install these products on their computers are not always aware that the product reports web browsing habits back to the marketers at Alexa some security software considers the Alexa Toolbar spyware and removes it. Both the automated removal-as-spyware and the self-selecting nature of those who install software that reports on personal web browsing habits raises questions as to whether the resulting data represents a unbiased statistical sample of Internet users. Windows - 91.13%  Mac - 7.83% Linux - 0.68% SunOS - 0.01% Other - 0.35% These tables compare general and technical information for a number of widely used and currently available operating systems.  Due to the large number and variety of available Linux distributions, they are all grouped under a single entry; see comparison of Linux distributions for a detailed comparison. There are also a variety of BSD operating systems, covered in comparison of BSD operating systems. For information on views of each operating system, see operating system advocacy.  ""","""
  Desktop OS market shareas of May, 2008 Operating System Market Share, May 2008, courtesy of Net Applications, a marketing company which obtains its data from the Alexa Toolbar or related products. Because people who install these products on their computers are not always aware that the product reports web browsing habits back to the marketers at Alexa some security software considers the Alexa Toolbar spyware and removes it. Both the automated removal-as-spyware and the self-selecting nature of those who install software that reports on personal web browsing habits raises questions as to whether the resulting data represents a unbiased statistical sample of Internet users. Windows - 91.13%  Mac - 7.83% Linux - 0.68% SunOS - 0.01% Other - 0.35%
These tables compare general and technical information for a number of widely used and currently available operating systems.

Due to the large number and variety of available Linux distributions, they are all grouped under a single entry; see comparison of Linux distributions for a detailed comparison. There are also a variety of BSD operating systems, covered in comparison of BSD operating systems. For information on views of each operating system, see operating system advocacy.

""",0.765,0,0,"`` Desktop OS market shareas , 2008 Operating Market Share , 2008 , courtesy Net Applications , marketing company obtains data Alexa Toolbar related product . people install product computer aware product report web browsing habit marketer Alexa security software considers Alexa Toolbar spyware remove . automated removal-as-spyware self-selecting nature install software report personal web browsing habit raise question resulting data represents unbiased statistical sample Internet user . Windows - 91.13 % Mac - 7.83 % Linux - 0.68 % SunOS - 0.01 % - 0.35 % table compare general technical information number widely used currently available operating system . large number variety available Linux distribution , grouped single entry ; comparison Linux distribution detailed comparison . variety BSD operating system , covered comparison BSD operating system . information view operating , operating advocacy. ``",0,0,0.006,0.942,1,0,0.052000000000000005,0,0,35,0,0,0,195
0,39,586,"""  WTF? Mediocre standards here at Wiki.  No accountability.  Fyslee is clearly an anti-chiro PT moderating the DC wiki.  You can easily find links all over the Web that Paul Lee has repeately libeled the profession and works with the infamous Stephen Barrett.  Give me a break.  My question is TOTALLY legitimate, nonetheless.  I will be reporting this incident to higher up mods since this is really a no-brainer.  The guy openly endorses the destruction of the profession, spreads anti-chiropractic propaganda and his profession PERSONALLY benefits if Chiropractic were to """"fold"""".""","""

WTF?
Mediocre standards here at Wiki.  No accountability.  Fyslee is clearly an anti-chiro PT moderating the DC wiki.  You can easily find links all over the Web that Paul Lee has repeately libeled the profession and works with the infamous Stephen Barrett.  Give me a break.

My question is TOTALLY legitimate, nonetheless.  I will be reporting this incident to higher up mods since this is really a no-brainer.  The guy openly endorses the destruction of the profession, spreads anti-chiropractic propaganda and his profession PERSONALLY benefits if Chiropractic were to """"fold"""".""",-0.516,0,0,"`` WTF ? Mediocre standard Wiki . accountability . Fyslee clearly anti-chiro PT moderating DC wiki . easily link Web Paul Lee repeately libeled profession work infamous Stephen Barrett . break . question TOTALLY legitimate , nonetheless . reporting incident higher mod really no-brainer . guy openly endorses destruction profession , spread anti-chiropractic propaganda profession PERSONALLY benefit Chiropractic `` '' fold '' '' . ''",0,0,0.122,0.778,1,0,0.099,0,0,20,0,0,0,91
0,1,24,Just disregard this all.,Just disregard this all.,-0.2732,0,0,disregard .,0,0,0.412,0.588,1,0,0.0,0,0,1,0,0,0,4
0,7,192,Hi you recently deleted by contribution to the Lady Louise page. I added the title of Princess Louise. This is correct as it was confirmed that on her birth certificate her title is a princes.,Hi you recently deleted by contribution to the Lady Louise page. I added the title of Princess Louise. This is correct as it was confirmed that on her birth certificate her title is a princes.,0.0,0,0,Hi recently deleted contribution Lady Louise page . added title Princess Louise . correct confirmed birth certificate title prince .,0,0,0.0,1.0,1,0,0.0,0,0,3,0,0,0,35
0,9,340,"Arbcom Questions redux Tony, thanks again for the work you've done in sorting the questions for candidates. I took your categorized list and coded it into , which candidates transclude into their question pages. Could you check and make sure that I got all of the questions, including any last-minute ones? Thanks again!   Claims ~ Evidence","Arbcom Questions redux
Tony, thanks again for the work you've done in sorting the questions for candidates. I took your categorized list and coded it into , which candidates transclude into their question pages. Could you check and make sure that I got all of the questions, including any last-minute ones? Thanks again!   Claims ~ Evidence",0.8122,0,0,"Arbcom Questions redux Tony , thanks work 've sorting question candidate . took categorized list coded , candidate transclude question page . check make sure got question , including last-minute one ? Thanks ! Claims ~ Evidence",0,0,0.0,0.8540000000000001,1,0,0.146,0,0,10,0,0,0,56
1,5,146,"""  You post a link to the National Review—and then have the nerve to go by the moniker of """"Neutral arbiter""""? What kind of bullshit is that? == ""","""

You post a link to the National Review—and then have the nerve to go by the moniker of """"Neutral arbiter""""? What kind of bullshit is that? == """,-0.6655,0,0,`` office link national Review—and nerve soubriquet `` `` inert arbiter `` `` ? kind shit ? == ``,0,0,0.151,0.8490000000000001,0,1,0.0,0,0,11,1,0,1,29
0,11,91,Headline text  Someone edit this and give me a civilrights INCIDENT! I gotta project ta do!,"Headline text 
Someone edit this and give me a civilrights INCIDENT! I gotta project ta do!",0.0,0,0,Headline text edit civilrights INCIDENT ! got ta project ta !,0,0,0.0,1.0,1,0,0.0,0,0,2,0,0,0,16
0,2,68,In recognition of your efforts ...   Here's a little reward for you:,"In recognition of your efforts ... 

Here's a little reward for you:",0.5279,0,0,recognition effort ... 's little reward :,0,0,0.0,0.746,1,0,0.254,0,0,5,0,0,0,12
